Palabra,Sentimiento
excelente,3
excelentes,3
impecable,3
impecables,3
limpio,2
limpios,2
limpia,2
limpias,2
limpísimo,2
limpísima,2
amable,2
amables,2
atento,2
atentos,2
atenta,2
atentas,2
ubicación,1
recomendable,2
cómodo,1
comodo,1
cómoda,1
comoda,1
cómodos,1
comodos,1
perfecto,3
perfecta,3
perfectos,3
perfectas,3
perfectamente,3
acogedor,2
acogedora,2
acogedores,2
precioso,2
preciosa,2
preciosos,2
genial,2
increíble,3
increible,3
increíbles,3
maravilloso,3
maravillosa,3
maravillosamente,3
moderno,1
moderna,1
central,1
silencioso,1
silenciosa,1
espectacular,3
fantástico,3
fantastico,3
fantástica,3
estupendo,2
estupenda,2
estupendas,2
agradables,1
agradable,1
encantador,2
encantadora,2
encantados,2
encantadas,2
encantado,2
encantada,2
fácil,1
facil,1
fácilmente,1
rápido,1
rapido,1
rápida,1
rapida,1
puntual,1
seguro,1
segura,1
iluminado,1
iluminada,1
amplio,1
amplia,1
espacioso,1
espaciosa,1
comodidad,1
comodísima,2
comodísimo,2
céntrico,1
centrico,1
proximidad,1
calidad,1
servicio,1
atención,1
atencion,1
fiel,1
flexible,1
comunicación,1
comunicacion,1
bien,1
super,1
súper,1
super,1
lindo,1
linda,1
lindas,1
lindisimo,2
bueno,1
buena,1
buen,1
buenos,1
buenas,1
disponible,1
ayuda,1
recomendaría,2
recomendaria,2
volvería,2
volveria,2
repetiría,2
repetiria,2
recomiendo,1
gracias,1
detallista,1
decorado,1
decorada,1
luminoso,1
luminosa,1
reformado,1
reformada,1
equipado,1
equipada,1
maravilla,2
tranquilo,1
tranquila,1
tranquilos,1
magnífico,3
magnifico,3
magnífica,3
fenomenal,3
fenómeno,2
ideal,2
inmejorable,3
confortable,2
confortables,2
cálido,1
calido,1
cálida,1
hospitalario,2
hospitalaria,2
simpático,2
simpatico,2
simpática,2
servicial,2
profesional,1
satisfecho,2
satisfecha,2
contento,1
contenta,1
feliz,2
felices,2
disfruté,2
disfrute,2
disfrutamos,2
recomendamos,2
repetiremos,2
volveremos,2
estratégico,1
estrategico,1
cercano,1
cercana,1
próximo,1
proximo,1
próxima,1
accesible,1
espléndido,3
esplendido,3
fabuloso,2
fabulosa,2
bonito,1
bonita,1
hermoso,2
hermosa,2
cuidado,1
cuidada,1
sobresaliente,3
destacado,2
destacada,2
único,2
unico,2
única,2
especial,2
encantados,2
recomendación,2
recomendacion,2
recomendaciones,2
placer,1
satisfacción,1
satisfaccion,1
impresionante,3
increíblemente,2
totalmente,1
completamente,1
absolutamente,1
sin duda,1
repetir,1
recomendar,1
sucio,-2
sucios,-2
sucia,-2
sucias,-2
sucisimo,-2
sucísimos,-2
horrible,-2
horribles,-2
ruidoso,-1
ruidosos,-1
ruidosa,-1
ruidosas,-1
ruido,-1
ruidos,-1
ruidazo,-1
caro,-1
caros,-1
cara,-1
caras,-1
carísimo,-1
carisimo,-1
carísima,-1
carísimos,-1
mal,-2
mala,-2
malo,-2
malos,-2
malas,-2
malísimo,-3
malisimo,-3
decepción,-2
decepcion,-2
decepcionante,-2
incómodo,-1
incomodo,-1
incómoda,-1
incómodos,-1
incómodas,-1
lejos,-1
lejanía,-1
lejania,-1
humedad,-1
humedades,-1
pequeño,-1
pequeno,-1
pequeña,-1
pequena,-1
viejo,-1
vieja,-1
oscuro,-1
oscura,-1
olor,-1
olores,-1
roto,-1
rota,-1
problema,-1
problemas,-1
suciedad,-1
pésimo,-3
pesimo,-3
pésimos,-3
pésimas,-3
fatal,-3
fatales,-3
desagradable,-2
desagradables,-2
polvo,-1
frío,-1
frio,-1
fría,-1
calor,-1
mosquitos,-1
engaño,-2
engano,-2
mentira,-2
mentiras,-2
peor,-1
descuidado,-2
descuidada,-2
peligroso,-2
peligrosa,-2
deficiente,-1
deficientes,-1
averiado,-1
averiada,-1
insoportable,-3
insoportables,-3
molestia,-1
molestias,-1
molesto,-1
molesta,-1
mancha,-1
manchas,-1
estrecho,-1
estrecha,-1
terrible,-3
terribles,-3
basura,-3
abandonado,-1
abandonada,-1
pobre,-1
pobres,-1
escaso,-1
escasa,-1
negativo,-1
negativa,-1
desastre,-2
desastres,-2
pesta,-1
apestoso,-2
apestosa,-2
queja,-1
quejas,-1
fallo,-1
fallos,-1
mierda,-3
puta,-3
puto,-3
asco,-3
asqueroso,-3
asquerosa,-3
asquerosos,-3
porquería,-3
porqueria,-3
porquerias,-3
odio,-3
odioso,-3
odiosa,-3
desastroso,-2
desastrosa,-2
lamentable,-2
lamentables,-2
penoso,-2
penosa,-2
vergonzoso,-2
vergonzosa,-2
mugriento,-2
mugrienta,-2
cochino,-2
cochina,-2
estruendoso,-1
escandaloso,-2
escandalosa,-2
defraudado,-2
defraudada,-2
estafa,-3
timo,-3
grosero,-2
grosera,-2
maleducado,-2
maleducada,-2
impuntual,-1
desorganizado,-1
desorganizada,-1
minúsculo,-1
minusculo,-1
minúscula,-1
reducido,-1
reducida,-1
hedor,-2
hediondo,-2
hedionda,-2
decepcionado,-2
decepcionada,-2
frustrado,-2
frustrada,-2
indignado,-2
indignada,-2
repugnante,-3
repugnantes,-3
nauseabundo,-3
cochambre,-2
desilusionado,-2
desilusionada,-2
horroroso,-3
horrorosa,-3
espantoso,-3
espantosa,-3
pésima,-3
deplorable,-3
inaceptable,-3
inadmisible,-3
poco recomendable,-2
no recomendable,-2
no repetiría,-2
no volvería,-2
no recomiendo,-2
normal,0
aceptable,0
estancia,0
estancias,0
apartamento,0
apartamentos,0
llaves,0
cama,0
camas,0
barrio,0
barrios,0
correcto,0
correcta,0
estadia,0
noche,0
noches,0
metro,0
fotos,0
realidad,0
piso,0
pisos,0
habitación,0
habitaciones,0
centro,0
ciudad,0
minutos,0
hora,0
horas,0
llegada,0
salida,0
anfitrión,0
anfitrion,0
anfitriona,0
anfitrionas,0
cocina,0
baño,0
baños,0
ducha,0
wifi,0
check,0
bus,0
buses,0
calle,0
calles,0
zona,0
zonas,0
sofá,0
sofa,0
sofás,0
toallas,0
toalla,0
ventilador,0
aire,0
acondicionado,0
ascensor,0
barcelona,0
cataluña,0
cataluna,0
españa,0
espana,0
sagrada,0
familia,0
casa,0
casas,0
alojamiento,0
alojamientos,0
habitaciones,0
terraza,0
terrazas,0
balcón,0
balcon,0
balcones,0
edificio,0
edificios,0
puerta,0
puertas,0
ventana,0
ventanas,0
nevera,0
microondas,0
cafetera,0
sábana,0
sabana,0
sábanas,0
almohada,0
almohadas,0
supermercado,0
supermercados,0
tienda,0
tiendas,0
restaurante,0
restaurantes,0
bar,0
bares,0
parada,0
paradas,0
días,0
día,0
dia,0
semana,0
semanas,0
reserva,0
reservas,0
entrada,0
precio,0
precios,0
euros,0
persona,0
personas,0
planta,0
dirección,0
direccion,0
número,0
numero,0
lista,0
normas,0
reglas,0
información,0
informacion,0
detalles,0
contacto,0
mensaje,0
mensajes,0
respuesta,0
respuestas,0
opinión,0
opinion,0
opiniones,0
reseña,0
resenas,0
comentario,0
comentarios,0
viaje,0
viajes,0
vacaciones,0
estación,0
estacion,0
transporte,0
parking,0
garaje,0
lavadora,0
secadora,0
lavavajillas,0
horno,0
placa,0
desayuno,0
llegar,0
salir,0
quedarse,0
reservar,0
pagar,0
